Adjacency Matrix
,ComeDown,RearUp,  Turn,Stretch,HangCudl,HangVert,CDfromPR,CDtoPR,RUfromPR,RUtoPR,LandVert,WalkLeft,WalkRight,Stationa,Drnk(S1),Eat(Z1),  Jump,Unknown,HVfromRU,HVfromHC,ReptJump,Circle,   Dig,Forage,Pause,Urinate, Groom, Sleep,Twitch,Arousal,Awaken,  Chew, Sniff,Settling,RemainRU,RemainPR,RemainHV,RemainHC,RemainLw,WalkSlow,No Data,Drnk(S2),Drnk(S3),Eat(Z2),Eat(Z3)
ComeDown,0,12,12,3,0,0,0,0,1,8,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,2,0,0,0,0,0
RearUp,6,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,27,0,0,0,0,0,1,0,0,0,0
  Turn,0,6,0,144,0,0,9,0,0,147,0,76,39,17,0,0,0,127,0,0,0,0,0,0,312,0,129,49,0,0,0,0,1,0,0,3,0,0,12746,68,1,0,0,1,0
Stretch,3,0,72,0,0,0,17,7,0,15,0,38,60,225,0,0,0,369,0,0,0,0,0,0,39,0,82,44,0,0,0,0,81,0,27,30,0,0,1499,73,0,0,0,0,0
HangCudl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HangVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDfromPR,0,10,203,20,0,0,0,0,1,340,0,7,3,2,0,2,0,38,0,0,0,0,0,0,21,0,10,2,0,0,0,0,4,0,0,53,0,0,1487,17,0,0,0,2,0
CDtoPR,0,1,0,0,0,0,79,0,40,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,139,0,0,0,1,0,0,0,0,0
RUfromPR,5,0,0,10,0,0,0,44,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,0,79,2,0,0,0,0,0,0,0,0,0
RUtoPR,0,2,2,23,0,0,951,0,61,0,0,4,0,3,0,1,0,10,0,0,0,0,0,0,1,0,7,5,0,0,0,0,58,0,3,871,0,0,20,0,0,0,0,3,0
LandVert,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0
WalkLeft,1,0,34,54,0,0,1,0,1,0,0,0,9,0,0,0,1,41,0,0,1,0,0,0,0,0,14,5,0,0,0,0,5,0,2,2,0,0,203,62,0,0,0,0,0
WalkRight,0,2,47,48,0,0,1,0,1,5,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,8,1,0,0,0,0,6,0,9,0,0,0,202,52,3,0,0,0,0
Stationa,0,0,52,99,0,0,9,0,0,4,0,4,7,0,0,0,0,8,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,1,11,0,0,550,4,0,0,0,0,0
Drnk(S1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat(Z1),0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
  Jump,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,0,0,0,0,0,0,0,0,0
Unknown,0,1,106,250,0,0,31,0,2,29,0,38,13,5,0,0,2,0,0,0,0,0,0,0,57,0,66,71,0,0,0,0,17,0,26,27,0,0,1338,24,1,0,0,1,0
HVfromRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVfromHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReptJump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Circle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pause,0,0,536,90,0,0,1,0,0,35,0,5,6,9,0,0,0,94,0,0,0,0,0,0,0,0,180,42,0,0,0,0,0,0,0,0,0,0,1430,23,0,0,0,0,0
Urinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Groom,0,0,98,86,0,0,16,1,1,7,0,8,1,0,0,1,0,23,0,0,0,0,0,0,0,0,0,58,0,0,0,0,31,0,3,30,0,0,1703,7,0,0,0,0,0
 Sleep,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,5645,0,332,0,1,0,0,1,0,0,2,0,1,0,0,0,0
Twitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5184,0,0,458,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Arousal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awaken,0,2,34,22,0,0,24,0,2,129,0,12,61,1,0,0,0,16,0,0,0,0,0,0,0,0,31,111,0,0,0,0,0,0,0,0,0,0,344,1,0,0,0,0,0
  Chew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
 Sniff,27,0,1,103,0,0,25,72,5,0,0,3,4,0,0,0,6,10,0,0,1,0,0,0,0,0,13,3,0,0,0,0,0,0,82,47,0,0,1,0,0,1,0,3,0
Settling,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RemainRU,43,0,0,20,0,0,4,144,0,0,0,5,6,1,0,0,3,22,0,0,0,0,0,0,0,0,11,2,0,0,0,0,3,0,0,2,0,0,3,1,8,0,0,0,0
RemainPR,1,0,3,36,0,0,993,1,122,4,0,0,0,10,0,1,3,24,0,0,0,0,0,0,0,0,23,3,0,0,0,0,13,0,5,0,0,0,21,2,0,0,0,7,0
RemainHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RemainHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RemainLw,0,56,12606,1630,0,0,26,0,0,1289,0,180,174,488,0,11,0,1261,0,0,0,0,0,0,1999,0,1434,412,0,0,0,0,20,1,2,31,0,0,0,508,2,0,0,20,0
WalkSlow,0,1,67,39,0,0,1,0,0,11,0,36,36,0,0,0,0,28,0,0,0,0,0,0,16,0,48,5,0,0,0,0,1,0,0,3,0,0,553,0,0,0,0,0,0
No Data,0,0,2,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0
Drnk(S2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drnk(S3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat(Z2),0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,3,0,0,13,0,0,0,0,0,0,0,0,0
Eat(Z3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
