 Experiment number: ,,#200
 Experiment date: ,,November-9-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-9-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"163:59'18"""
Analysis Start@:,,"159:59'19"""
Dstance Traveled:,,    432.18(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
1,11297,11296,Land Vertically,RightWall(Night),
11297,11303,6,Walk Right,Ceiling(Night),
11303,22945,11642,Unknown Behavior,,
22945,23014,69,No Data,,
23014,23023,9,Land Vertically,RightWall(Night),
23023,23041,18,Remain RearUp,RightWall(Night),
23041,23993,952,No Data,,
23993,24002,9,Land Vertically,Ceiling(Night),
24002,24020,18,Remain RearUp,Ceiling(Night),
24020,24085,65,No Data,,
24085,24091,6,Unknown Behavior,,
24091,24133,42,Remain RearUp,,
24133,24145,12,"(null)(CDtoPR, CDfromPR)",,
24145,24151,6,Remain Low,LeftWall(Night),
24151,24157,6,Turn,face-front/back,LeftWall(Night),
24157,24187,30,Remain Low,LeftWall(Night),
24187,24193,6,Turn,LeftWall(Night),
24193,24205,12,Remain Low,LeftWall(Night),
24205,24211,6,Turn,face-front/back,LeftWall(Night),
24211,24229,18,Remain Low,LeftWall(Night),
24229,24241,12,Turn,face-front/back,LeftWall(Night),
24241,24271,30,Remain Low,LeftWall(Night),
24271,24289,18,Walk Right,LeftWall(Night),
24289,24313,24,Remain Low,Floor(Night),
24313,24325,12,Walk Slowly,Floor(Night),
24325,24331,6,Walk Right,Floor(Night),
24331,24337,6,Walk Slowly,Floor(Night),
24337,24355,18,Walk Right,Floor(Night),
24355,24361,6,Walk Slowly,RightWall(Night),
24361,24367,6,Remain Low,RightWall(Night),
24367,24373,6,Turn,face-front/back,RightWall(Night),
24373,24379,6,Remain Low,RightWall(Night),
24379,24385,6,Turn,RightWall(Night),
24385,24391,6,Turn,face-front/back,RightWall(Night),
24391,24397,6,Turn,RightWall(Night),
24397,24406,9,Turn,face-front/back,RightWall(Night),
24406,24730,324,Remain Low,RightWall(Night),
24730,24742,12,Turn,RightWall(Night),
24742,24766,24,Remain Low,RightWall(Night),
24766,24772,6,Rear up Partially,RightWall(Night),
24772,24784,12,Remain Partially Reared,RightWall(Night),
24784,24790,6,Sniff,RightWall(Night),
24790,24829,39,Remain RearUp,RightWall(Night),
24829,24847,18,"(null)(CDtoPR, CDfromPR)",RightWall(Night),
24847,24865,18,Remain Low,RightWall(Night),
24865,24880,15,Stretch Body,RightWall(Night),
24880,24889,9,Remain Low,RightWall(Night),
24889,24898,9,Stationary,RightWall(Night),
24898,24922,24,Remain Low,RightWall(Night),
24922,24990,68,No Data,,
24990,25014,24,"(null)(RUfromPR, RemainRU)",RightWall(Night),
25014,50683,25669,No Data,,
50683,50689,6,Land Vertically,RightWall(Night),
50689,50725,36,Remain RearUp,Ceiling(Night),
50725,50793,68,No Data,,
50793,50835,42,Remain Low,Floor(Night),
50835,50841,6,Walk Slowly,Floor(Night),
50841,50859,18,Remain Low,Floor(Night),
50859,50865,6,Walk Right,Floor(Night),
50865,50901,36,Remain Low,RightWall(Night),
50901,50907,6,Turn,face-front/back,Floor(Night),
50907,50919,12,Remain Low,Floor(Night),
50919,50925,6,Turn,face-front/back,RightWall(Night),
50925,50985,60,Remain Low,RightWall(Night),
50985,50991,6,Turn,RightWall(Night),
50991,51192,201,Remain Low,RightWall(Night),
51192,51201,9,Turn,face-front/back,RightWall(Night),
51201,51231,30,Remain Low,RightWall(Night),
51231,51237,6,Turn,RightWall(Night),
51237,51462,225,Remain Low,RightWall(Night),
51462,51468,6,Turn,face-front/back,Floor(Night),
51468,51784,316,Remain Low,RightWall(Night),
51994,52363,369,Groom,PLF<-HdW,RightWall(Night),
52363,52370,7,Turn,RightWall(Night),
52370,52406,36,Remain Low,RightWall(Night),
52406,52412,6,Turn,Floor(Night),
52412,52418,6,Turn,RightWall(Night),
52418,52442,24,Remain Low,RightWall(Night),
52442,52452,10,Turn,RightWall(Night),
52452,52637,185,Remain Low,face-front/back,RightWall(Night),
52637,52643,6,Turn,RightWall(Night),
52643,52691,48,Unknown Behavior,RightWall(Night),
52691,52703,12,Remain Low,Floor(Night),
52703,52724,21,Stretch Body,Floor(Night),
52724,52769,45,Remain Low,Floor(Night),
52769,52796,27,Stretch Body,Floor(Night),
52796,52805,9,Remain Low,Floor(Night),
52805,52907,102,Stretch Body,Floor(Night),
52907,52913,6,Remain Low,Floor(Night),
52913,52922,9,Stretch Body,Floor(Night),
52922,52937,15,Remain Low,Floor(Night),
52937,52952,15,Stretch Body,Floor(Night),
52952,52976,24,Remain Low,Floor(Night),
52976,52994,18,Stretch Body,Floor(Night),
52994,53000,6,Stationary,Floor(Night),
53000,53021,21,Stretch Body,Floor(Night),
53021,53045,24,Remain Low,Floor(Night),
53045,53054,9,Turn,face-front/back,Floor(Night),
53054,53156,102,Remain Low,Floor(Night),
53156,53162,6,Turn,Floor(Night),
53162,53168,6,Turn,face-front/back,Floor(Night),
53168,53252,84,Remain Low,Floor(Night),
53252,53258,6,Turn,Floor(Night),
53258,53270,12,Remain Low,Floor(Night),
53270,53282,12,Turn,face-front/back,Floor(Night),
53282,53306,24,Remain Low,Floor(Night),
53306,53312,6,Turn,face-front/back,Floor(Night),
53312,53336,24,Remain Low,Floor(Night),
53336,53348,12,Turn,Floor(Night),
53348,53435,87,Remain Low,Floor(Night),
53435,53441,6,Turn,Floor(Night),
53441,53483,42,Remain Low,Floor(Night),
53483,53489,6,Turn,Floor(Night),
53489,53495,6,Remain Low,Floor(Night),
53495,53501,6,Turn,Floor(Night),
53501,53513,12,Remain Low,Floor(Night),
53513,53523,10,Turn,face-front/back,Floor(Night),
53523,53897,374,Remain Low,Floor(Night),
53897,53903,6,Stationary,Floor(Night),
53903,53915,12,Turn,Floor(Night),
53915,53969,54,Remain Low,LeftWall(Night),
53969,53981,12,Walk Left,LeftWall(Night),
53981,54395,414,Groom,PLF,LeftWall(Night),
54395,54558,163,Remain Low,LeftWall(Night),
54558,54564,6,Turn,Floor(Night),
54564,54570,6,Turn,Floor(Night),
54570,54576,6,Walk Slowly,Floor(Night),
54576,54606,30,Remain Low,Floor(Night),
54606,54612,6,Rear up Partially,Floor(Night),
54612,54618,6,Remain Partially Reared,Floor(Night),
54618,54624,6,Come Down From Partially Reared,Floor(Night),
54624,54646,22,Remain Low,Floor(Night),
54646,54657,11,Turn,Floor(Night),
54657,54663,6,Turn,face-front/back,Floor(Night),
54663,54705,42,Remain Low,Floor(Night),
54705,54714,9,Turn,Floor(Night),
54714,54729,15,Remain Low,Floor(Night),
54729,54741,12,Stretch Body,Floor(Night),
54741,54753,12,Remain Low,Floor(Night),
54753,54759,6,Rear up Partially,Floor(Night),
54759,54765,6,Remain Partially Reared,Floor(Night),
54765,55185,420,Groom,PLF,RightWall(Night),
55185,55216,31,Remain Low,RightWall(Night),
55216,55222,6,Turn,RightWall(Night),
55222,55228,6,Turn,RightWall(Night),
55228,55273,45,"(null)(RUtoPR, RUfromPR, RemainRU)",RightWall(Night),
55273,55294,21,"(null)(CDtoPR, CDfromPR)",RightWall(Night),
55294,55318,24,Remain Low,RightWall(Night),
55318,55328,10,Turn,RightWall(Night),
55328,55345,17,Remain Low,RightWall(Night),
55345,55363,18,Unknown Behavior,RightWall(Night),
55363,55393,30,Remain Low,RightWall(Night),
55393,55405,12,Stationary,RightWall(Night),
55405,55426,21,Remain Low,RightWall(Night),
55426,55432,6,Turn,RightWall(Night),
55432,55438,6,Turn,RightWall(Night),
55438,55582,144,Remain Low,RightWall(Night),
55582,55588,6,Turn,RightWall(Night),
55588,55618,30,Remain Low,Floor(Night),
55618,55624,6,Turn,Floor(Night),
55624,55630,6,Turn,face-front/back,Floor(Night),
55630,55639,9,Rear up Partially,Floor(Night),
55639,55648,9,Come Down From Partially Reared,Floor(Night),
55648,55663,15,Remain Partially Reared,Floor(Night),
55663,55699,36,Remain RearUp,Floor(Night),
55699,55774,75,Stretch Body,Floor(Night),
55774,55795,21,Remain Low,Floor(Night),
55795,55807,12,Turn,face-front/back,Floor(Night),
55807,55915,108,Remain Low,RightWall(Night),
55915,55921,6,Turn,RightWall(Night),
55921,55933,12,Remain Low,RightWall(Night),
55933,55945,12,Turn,RightWall(Night),
55945,55969,24,Remain Low,RightWall(Night),
55969,55993,24,Unknown Behavior,RightWall(Night),
55993,56016,23,Remain Low,RightWall(Night),
56016,57141,1125,Sleep,RightWall(Night),
57141,57184,43,Twitch,RightWall(Night),
57184,58770,1586,Sleep,RightWall(Night),
58770,58797,27,Twitch,RightWall(Night),
58797,58964,167,Sleep,Floor(Night),
58964,59079,115,Twitch,Floor(Night),
59079,59206,127,Sleep,Floor(Night),
59206,59248,42,Twitch,Floor(Night),
59248,59367,119,Sleep,Floor(Night),
59367,59500,133,Twitch,Floor(Night),
59500,59548,48,Sleep,Floor(Night),
59548,59564,16,Twitch,RightWall(Night),
59564,59611,47,Sleep,Floor(Night),
59611,59627,16,Twitch,RightWall(Night),
59627,59727,100,Sleep,Floor(Night),
59727,59903,176,Twitch,Floor(Night),
59903,59959,56,Sleep,Floor(Night),
59959,60228,269,Twitch,Floor(Night),
60228,60422,194,Sleep,Floor(Night),
60422,60460,38,Twitch,Floor(Night),
60460,60774,314,Sleep,Floor(Night),
60774,60785,11,Twitch,Floor(Night),
60785,61011,226,Sleep,Floor(Night),
61011,61311,300,Twitch,RightWall(Night),
61311,61312,1,Awaken,RightWall(Night),
61312,61358,46,Remain Low,RightWall(Night),
61633,61947,314,Groom,HdW,RightWall(Night),
61947,61954,7,Remain Low,RightWall(Night),
61954,61960,6,Turn,face-front/back,RightWall(Night),
61960,62504,544,Remain Low,RightWall(Night),
62504,62772,268,Pause,,
62772,62908,136,Remain Low,RightWall(Night),
62908,62914,6,Turn,face-front/back,RightWall(Night),
62914,62920,6,Remain Low,RightWall(Night),
62920,62926,6,Turn,face-front/back,RightWall(Night),
62926,62950,24,Remain Low,RightWall(Night),
62950,62956,6,Turn,face-front/back,RightWall(Night),
62956,62968,12,Remain Low,RightWall(Night),
62968,62974,6,Turn,RightWall(Night),
62974,62980,6,Turn,face-front/back,RightWall(Night),
62980,62986,6,Turn,RightWall(Night),
62986,63058,72,Remain Low,RightWall(Night),
63058,63427,369,Groom,PLF<-HdW,RightWall(Night),
63427,63434,7,Turn,RightWall(Night),
63434,63446,12,Remain Low,RightWall(Night),
63446,63467,21,Turn,face-front/back,RightWall(Night),
63467,63593,126,Remain Low,RightWall(Night),
63593,63677,84,Stretch Body,RightWall(Night),
63677,63689,12,Remain Low,RightWall(Night),
63689,63703,14,Stretch Body,RightWall(Night),
63795,64163,368,Groom,PLF,RightWall(Night),
64163,64185,22,Remain Low,RightWall(Night),
64185,64191,6,Turn,RightWall(Night),
64191,64317,126,Pause,RightWall(Night),
64317,64323,6,Turn,RightWall(Night),
64323,64329,6,Turn,RightWall(Night),
64329,64433,104,Pause,RightWall(Night),
64433,64557,124,Remain Low,Night,
64557,64563,6,Turn,RightWall(Night),
64563,64569,6,Turn,face-front/back,RightWall(Night),
64569,64779,210,Remain Low,RightWall(Night),
64779,64785,6,Turn,RightWall(Night),
64785,64812,27,Remain Low,RightWall(Night),
64812,64818,6,Turn,face-front/back,RightWall(Night),
64818,64848,30,Remain Low,RightWall(Night),
64848,64869,21,Turn,face-front/back,RightWall(Night),
64869,65169,300,Remain Low,RightWall(Night),
65169,65175,6,Rear up Partially,RightWall(Night),
65175,65193,18,Remain Partially Reared,RightWall(Night),
65193,65199,6,Come Down From Partially Reared,RightWall(Night),
65199,65205,6,Remain Low,RightWall(Night),
65205,65211,6,Turn,RightWall(Night),
65211,65253,42,Remain Low,RightWall(Night),
65253,65259,6,Rear up Partially,RightWall(Night),
65259,65265,6,Come Down From Partially Reared,RightWall(Night),
65265,65271,6,Rear up Partially,RightWall(Night),
65271,65277,6,Remain Partially Reared,RightWall(Night),
65277,65283,6,Come Down From Partially Reared,RightWall(Night),
65283,65307,24,Remain Low,RightWall(Night),
65307,65313,6,Rear up Partially,RightWall(Night),
65313,65481,168,Remain Partially Reared,RightWall(Night),
65481,65487,6,Come Down From Partially Reared,RightWall(Night),
65487,65496,9,Remain Low,RightWall(Night),
65496,65502,6,Rear up Partially,RightWall(Night),
65502,65586,84,Remain Partially Reared,RightWall(Night),
65586,66487,901,Sleep,RightWall(Night),
66487,66542,55,Twitch,RightWall(Night),
66542,66738,196,Sleep,RightWall(Night),
66738,66771,33,Twitch,RightWall(Night),
66771,67695,924,Sleep,RightWall(Night),
67695,67728,33,Twitch,RightWall(Night),
67728,68151,423,Sleep,RightWall(Night),
68151,68179,28,Twitch,RightWall(Night),
68179,68360,181,Sleep,RightWall(Night),
68360,68393,33,Twitch,RightWall(Night),
68393,70555,2162,Sleep,RightWall(Night),
70555,70571,16,Twitch,RightWall(Night),
70571,75414,4843,Sleep,Floor(Night),
75414,75453,39,Twitch,RightWall(Night),
75453,86466,11013,Sleep,RightWall(Night),
86466,86477,11,Twitch,RightWall(Night),
86477,93801,7324,Sleep,RightWall(Night),
93801,93812,11,Twitch,RightWall(Night),
93812,99106,5294,Sleep,RightWall(Night),
99106,99117,11,Twitch,RightWall(Night),
99117,99152,35,Sleep,RightWall(Night),
99152,99173,21,Twitch,RightWall(Night),
99173,99210,37,Sleep,RightWall(Night),
99210,99283,73,Twitch,RightWall(Night),
99283,99318,35,Sleep,RightWall(Night),
99318,99329,11,Twitch,RightWall(Night),
99329,101147,1818,Sleep,RightWall(Night),
101147,101210,63,Twitch,RightWall(Night),
101210,106128,4918,Sleep,RightWall(Night),
106128,106141,13,Twitch,RightWall(Night),
106141,111193,5052,Sleep,RightWall(Night),
111193,111243,50,Twitch,RightWall(Night),
111243,111281,38,Sleep,RightWall(Night),
111281,111312,31,Twitch,RightWall(Night),
111312,114795,3483,Sleep,RightWall(Night),
114795,114936,141,Twitch,RightWall(Night),
114936,115004,68,Sleep,RightWall(Night),
115004,115120,116,Twitch,RightWall(Night),
115120,115155,35,Sleep,RightWall(Night),
115155,115172,17,Twitch,RightWall(Night),
115172,115327,155,Sleep,RightWall(Night),
115327,115403,76,Twitch,Floor(Night),
115403,115642,239,Sleep,RightWall(Night),
115642,115692,50,Twitch,,
115692,115753,61,Sleep,RightWall(Night),
115753,116053,300,Twitch,RightWall(Night),
116053,116060,7,Awaken,RightWall(Night),
116060,116073,13,Unknown Behavior,RightWall(Night),
116073,116079,6,Remain Low,RightWall(Night),
116079,116085,6,Turn,face-front/back,RightWall(Night),
116085,116097,12,Remain Low,RightWall(Night),
116097,116103,6,Rear up Partially,RightWall(Night),
116103,116175,72,Remain Partially Reared,RightWall(Night),
116175,116181,6,Come Down From Partially Reared,RightWall(Night),
116181,116193,12,Remain Low,RightWall(Night),
116193,116199,6,Turn,RightWall(Night),
116199,116319,120,Pause,RightWall(Night),
116319,116325,6,Turn,RightWall(Night),
116325,116331,6,Turn,RightWall(Night),
116331,116340,9,Turn,face-front/back,RightWall(Night),
116340,116388,48,Remain Low,RightWall(Night),
116388,116394,6,Turn,RightWall(Night),
116394,116418,24,Remain Low,RightWall(Night),
116418,116611,193,Pause,RightWall(Night),
116611,116694,83,Remain Low,,
116694,116706,12,Stretch Body,RightWall(Night),
116706,116730,24,Remain Low,RightWall(Night),
116730,116750,20,Stretch Body,RightWall(Night),
116750,116787,37,Remain Low,RightWall(Night),
116787,116970,183,Pause,RightWall(Night),
116970,116979,9,Turn,face-front/back,RightWall(Night),
116979,117141,162,Remain Low,face-front/back,RightWall(Night),
117141,117147,6,Turn,RightWall(Night),
117147,117153,6,Turn,RightWall(Night),
117153,117168,15,Turn,face-front/back,RightWall(Night),
117168,117186,18,Unknown Behavior,RightWall(Night),
117186,117195,9,Stretch Body,RightWall(Night),
117195,117208,13,Remain Low,RightWall(Night),
117208,117216,8,Sniff,RightWall(Night),
117216,117579,363,Stretch Body,RightWall(Night),
117579,117597,18,Turn,face-front/back,OnBedding(Night),
117597,117618,21,Unknown Behavior,RightWall(Night),
117618,117630,12,Stretch Body,RightWall(Night),
117630,117654,24,Unknown Behavior,,
117654,117678,24,Stretch Body,RightWall(Night),
117678,117739,61,Unknown Behavior,RightWall(Night),
