 Experiment number: ,,#202
 Experiment date: ,,November-12-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-12-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"171:59'16"""
Analysis Start@:,,"167:59'17"""
Dstance Traveled:,,    413.85(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
1,2,1,Remain Low,Floor(Night),
2,160,158,Pause,,
160,176,16,Remain Low,,
176,275,99,Pause,,
275,304,29,Remain Low,,
304,527,223,Pause,,
718,2032,1314,Sleep,Floor(Night),
2032,2203,171,Twitch,Floor(Night),
2203,5110,2907,Sleep,Floor(Night),
5110,5121,11,Twitch,Floor(Night),
5121,5552,431,Sleep,Floor(Night),
5552,5566,14,Twitch,,
5566,19350,13784,Sleep,Floor(Night),
19350,19362,12,Twitch,Floor(Night),
19362,19448,86,Sleep,Floor(Night),
19448,19480,32,Twitch,Floor(Night),
19480,23600,4120,Sleep,Floor(Night),
23600,23685,85,Twitch,Floor(Night),
23685,24112,427,Sleep,Floor(Night),
24112,24137,25,Twitch,Floor(Night),
24137,27682,3545,Sleep,Floor(Night),
27682,27725,43,Twitch,Floor(Night),
27725,27866,141,Sleep,Floor(Night),
27866,27931,65,Twitch,Floor(Night),
27931,33783,5852,Sleep,Floor(Night),
33783,33804,21,Twitch,Floor(Night),
33804,33841,37,Sleep,Floor(Night),
33841,33892,51,Twitch,Floor(Night),
33892,36010,2118,Sleep,Floor(Night),
36010,36023,13,Twitch,Floor(Night),
36023,36067,44,Sleep,Floor(Night),
36067,36084,17,Twitch,Floor(Night),
36084,36207,123,Sleep,Floor(Night),
36207,36220,13,Twitch,Floor(Night),
36220,42593,6373,Sleep,Floor(Night),
42593,42893,300,Twitch,Floor(Night),
42893,42894,1,Awaken,Floor(Night),
42894,42901,7,Turn,face-front/back,Floor(Night),
42901,54834,11933,Sleep,Floor(Night),
54834,54857,23,Twitch,Floor(Night),
54857,58342,3485,Sleep,Floor(Night),
58342,58355,13,Twitch,Floor(Night),
58355,58812,457,Sleep,Floor(Night),
58812,58835,23,Twitch,Floor(Night),
58835,58936,101,Sleep,Floor(Night),
58936,58966,30,Twitch,Floor(Night),
58966,61094,2128,Sleep,Floor(Night),
61094,61179,85,Twitch,Floor(Night),
61179,61272,93,Sleep,Floor(Night),
61272,61331,59,Awaken,Floor(Night),
61331,61343,12,Walk Right,Floor(Night),
