Adjacency Matrix
,ComeDown,RearUp,  Turn,Stretch,HangCudl,HangVert,CDfromPR,CDtoPR,RUfromPR,RUtoPR,LandVert,WalkLeft,WalkRight,Stationa,Drnk(S1),Eat(Z1),  Jump,Unknown,HVfromRU,HVfromHC,ReptJump,Circle,   Dig,Forage,Pause,Urinate, Groom, Sleep,Twitch,Arousal,Awaken,  Chew, Sniff,Settling,RemainRU,RemainPR,RemainHV,RemainHC,RemainLw,WalkSlow,No Data,Drnk(S2),Drnk(S3),Eat(Z2),Eat(Z3)
ComeDown,0,23,19,1,0,0,1,0,1,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0
RearUp,19,0,0,2,0,0,0,19,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,50,1,0,0,1,0,2,0,0,0,0
  Turn,0,15,0,61,0,0,6,0,0,83,0,70,38,21,0,1,0,102,0,0,0,0,0,0,335,0,107,53,0,0,0,0,1,0,0,1,0,0,12023,66,0,0,0,0,0
Stretch,1,0,39,0,0,0,5,6,0,2,0,20,40,127,0,0,1,193,0,0,0,0,0,0,30,0,33,32,0,0,0,0,52,0,10,9,0,0,820,32,1,0,0,0,0
HangCudl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HangVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDfromPR,0,8,113,9,0,0,0,0,2,132,0,12,4,0,0,0,0,15,0,0,0,0,0,0,8,0,4,1,0,0,0,0,3,0,0,20,0,0,799,5,0,0,0,0,0
CDtoPR,0,0,0,1,0,0,74,0,43,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,74,0,0,1,0,0,0,0,0,0
RUfromPR,10,1,0,4,0,0,0,19,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,58,2,0,0,0,0,0,0,0,0,0
RUtoPR,0,0,0,8,0,0,511,0,48,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,5,1,0,0,0,0,32,0,1,392,0,0,8,1,0,0,0,4,0
LandVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0
WalkLeft,0,4,65,42,0,0,2,0,0,3,0,0,29,1,0,0,1,53,0,0,0,0,0,0,3,0,17,5,0,0,0,0,8,2,7,0,0,0,206,43,0,0,0,0,0
WalkRight,2,1,68,58,0,0,1,1,1,3,0,58,0,0,0,0,0,34,0,0,1,0,0,0,1,0,7,6,0,0,0,0,8,0,7,1,0,0,198,49,4,0,0,0,0
Stationa,0,0,49,51,0,0,1,0,0,1,0,3,4,0,0,0,0,2,0,0,0,0,0,0,6,0,2,3,0,0,0,0,2,0,0,1,0,0,425,7,0,0,0,0,0
Drnk(S1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat(Z1),0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
  Jump,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,1,1,0,0,0,0
Unknown,2,2,100,126,0,0,14,1,1,9,0,50,20,3,0,0,0,0,0,0,2,0,0,0,34,0,47,41,0,0,0,0,14,0,27,16,0,0,829,15,0,0,0,0,0
HVfromRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVfromHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReptJump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
Circle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pause,0,0,602,50,0,0,0,0,0,15,0,7,11,12,0,0,0,70,0,0,0,0,0,0,0,0,144,36,0,0,0,0,0,0,0,1,0,0,1458,24,0,0,0,0,0
Urinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Groom,0,3,83,42,0,0,5,1,0,1,0,11,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,45,0,0,0,0,8,0,3,17,0,0,1408,7,0,0,0,0,0
 Sleep,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5798,0,315,0,0,0,0,2,0,0,5,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5372,0,0,422,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Arousal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
