 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
1,23626,23625,Sleep,LeftWall(Night),
23626,23650,24,Twitch,,
23650,23755,105,Sleep,Floor(Night),
23755,23759,4,Awaken,Floor(Night),
23759,23765,6,Walk Right,Floor(Night),
23765,23795,30,Remain Low,Floor(Night),
23795,23819,24,Stretch Body,Floor(Night),
23819,23834,15,Unknown Behavior,Floor(Night),
23834,23840,6,Remain Low,Floor(Night),
23840,23855,15,Unknown Behavior,Floor(Night),
23855,23921,66,Stretch Body,Floor(Night),
23921,23936,15,Unknown Behavior,Floor(Night),
23936,23945,9,Stretch Body,Floor(Night),
23945,23990,45,Remain Low,RightWall(Night),
23990,24336,346,Groom,PLF,RightWall(Night),
24336,24339,3,Turn,RightWall(Night),
24339,24889,550,Groom,PLF<-HdW,Floor(Night),
24889,24944,55,Stretch Body,Floor(Night),
24944,24950,6,Stationary,Floor(Night),
24950,24956,6,Remain Low,face-front/back,Floor(Night),
24956,24965,9,Stretch Body,Floor(Night),
24965,24974,9,Remain Low,Floor(Night),
24974,24995,21,Stretch Body,Floor(Night),
24995,25046,51,Remain Low,face-front/back,Floor(Night),
25046,25052,6,Turn,Floor(Night),
25052,25159,107,Remain Low,Floor(Night),
25159,26212,1053,Sleep,Floor(Night),
26212,26261,49,Twitch,Floor(Night),
26261,26756,495,Sleep,Floor(Night),
26756,26941,185,Awaken,Floor(Night),
26941,26947,6,Walk Right,Floor(Night),
26947,26959,12,Remain Low,Floor(Night),
26959,26965,6,Walk Left,LeftWall(Night),
26965,27130,165,Remain Low,LeftWall(Night),
27130,27136,6,Turn,LeftWall(Night),
27136,27158,22,Remain Low,LeftWall(Night),
27158,27169,11,Turn,LeftWall(Night),
27169,27175,6,Turn,LeftWall(Night),
27175,27181,6,Turn,LeftWall(Night),
27181,27187,6,Turn,LeftWall(Night),
27187,27256,69,Remain Low,LeftWall(Night),
27256,27262,6,Turn,face-front/back,LeftWall(Night),
27262,27340,78,Remain Low,LeftWall(Night),
27340,27346,6,Turn,LeftWall(Night),
27346,27400,54,Remain Low,LeftWall(Night),
27400,27406,6,Turn,face-front/back,LeftWall(Night),
27406,27412,6,Remain Low,LeftWall(Night),
27412,27418,6,Turn,face-front/back,LeftWall(Night),
27418,27502,84,Remain Low,LeftWall(Night),
27502,27514,12,Turn,face-front/back,LeftWall(Night),
27514,27515,1,Remain Low,LeftWall(Night),
27515,28260,745,Pause,Night,
28260,37914,9654,Sleep,LeftWall(Night),
37914,37925,11,Twitch,LeftWall(Night),
37925,41238,3313,Sleep,LeftWall(Night),
41238,41251,13,Twitch,LeftWall(Night),
41251,41999,748,Sleep,LeftWall(Night),
41999,42040,41,Twitch,LeftWall(Night),
42040,47051,5011,Sleep,LeftWall(Night),
47051,47079,28,Twitch,LeftWall(Night),
47079,50449,3370,Sleep,LeftWall(Night),
50449,50565,116,Twitch,LeftWall(Night),
50565,50642,77,Sleep,LeftWall(Night),
50642,50694,52,Twitch,LeftWall(Night),
50694,50739,45,Sleep,LeftWall(Night),
50739,50764,25,Twitch,,
50764,50795,31,Sleep,LeftWall(Night),
50795,50818,23,Twitch,LeftWall(Night),
50818,51531,713,Sleep,LeftWall(Night),
51531,51635,104,Twitch,LeftWall(Night),
51635,60358,8723,Sleep,LeftWall(Night),
60358,60412,54,Twitch,LeftWall(Night),
60412,60516,104,Sleep,LeftWall(Night),
60516,60539,23,Twitch,LeftWall(Night),
60539,62001,1462,Sleep,LeftWall(Night),
62001,62128,127,Twitch,LeftWall(Night),
62128,62571,443,Sleep,LeftWall(Night),
62571,62589,18,Twitch,,
62589,62669,80,Sleep,LeftWall(Night),
62669,62690,21,Twitch,LeftWall(Night),
62690,62896,206,Sleep,LeftWall(Night),
62896,62917,21,Twitch,LeftWall(Night),
62917,63474,557,Sleep,LeftWall(Night),
63474,63507,33,Twitch,LeftWall(Night),
63507,66906,3399,Sleep,LeftWall(Night),
66906,66993,87,Twitch,LeftWall(Night),
66993,68505,1512,Sleep,LeftWall(Night),
