Adjacency Matrix
,ComeDown,RearUp,  Turn,Stretch,HangCudl,HangVert,CDfromPR,CDtoPR,RUfromPR,RUtoPR,LandVert,WalkLeft,WalkRight,Stationa,Drnk(S1),Eat(Z1),  Jump,Unknown,HVfromRU,HVfromHC,ReptJump,Circle,   Dig,Forage,Pause,Urinate, Groom, Sleep,Twitch,Arousal,Awaken,  Chew, Sniff,Settling,RemainRU,RemainPR,RemainHV,RemainHC,RemainLw,WalkSlow,No Data,Drnk(S2),Drnk(S3),Eat(Z2),Eat(Z3)
ComeDown,0,28,12,1,0,0,2,0,1,10,0,4,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,71,1,0,0,0,0,0
RearUp,37,0,0,3,0,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,68,1,0,0,0,0,0,0,0,0,0
  Turn,0,16,0,82,0,0,7,0,2,141,0,99,40,28,0,3,0,118,0,0,0,0,0,0,418,0,150,76,0,0,0,0,2,1,0,3,0,0,15483,93,0,0,0,2,0
Stretch,2,0,46,0,0,0,8,11,0,5,0,53,68,161,0,0,0,281,0,0,0,0,0,0,43,0,44,31,0,0,0,0,42,1,27,21,0,0,1166,57,1,0,0,0,0
HangCudl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HangVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDfromPR,0,18,204,22,0,0,0,0,1,308,0,11,4,1,0,1,0,25,0,0,0,0,0,0,26,0,12,4,0,0,0,0,0,0,1,30,0,0,1271,9,0,0,0,3,0
CDtoPR,0,1,0,0,0,0,71,0,56,0,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,111,0,0,2,0,0,0,0,0,0
RUfromPR,13,0,0,6,0,0,1,39,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,57,0,107,0,0,0,0,0,0,0,0,0,0
RUtoPR,1,0,2,9,0,0,874,1,55,0,0,2,0,1,0,0,0,19,0,0,1,0,0,0,0,0,9,7,0,0,0,0,24,0,1,767,0,0,18,0,0,0,0,15,0
LandVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
WalkLeft,0,1,71,61,0,0,3,0,0,6,0,0,32,2,0,0,1,64,0,0,1,0,1,0,3,0,28,2,0,0,0,0,6,1,1,1,0,0,271,54,1,0,0,0,0
WalkRight,0,0,65,78,0,0,2,0,0,7,0,44,0,1,0,0,1,23,0,0,0,0,0,0,5,0,13,9,0,0,0,0,8,0,3,0,0,0,281,62,5,0,0,0,0
Stationa,0,1,62,79,0,0,4,0,0,2,0,4,8,0,0,0,0,6,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,2,10,0,0,520,7,0,0,0,0,0
Drnk(S1),0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Eat(Z1),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0
  Jump,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,4,0,0,0,0,0,0,0,0,0
Unknown,0,3,111,167,0,0,16,0,3,18,1,50,26,3,0,0,0,0,0,0,1,0,0,0,69,0,81,71,0,0,0,0,17,1,10,24,0,0,1265,29,0,0,0,0,0
HVfromRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVfromHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReptJump,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Circle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Forage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pause,0,0,685,79,0,0,1,0,0,50,0,13,15,9,0,0,0,120,0,0,0,0,0,0,0,0,220,51,0,0,0,0,0,0,0,1,0,0,2009,26,0,0,0,1,0
Urinate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Groom,1,0,104,57,0,0,7,1,3,8,0,8,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,62,0,0,0,0,18,0,3,13,0,0,2061,5,0,0,0,2,0
 Sleep,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6827,0,398,0,0,0,1,2,0,0,2,0,1,0,0,0,0
Twitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6295,0,0,530,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Arousal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awaken,0,3,41,13,0,0,20,0,1,127,0,31,101,1,0,0,0,19,0,0,0,0,0,0,0,0,30,125,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0
  Chew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
 Sniff,18,0,0,54,0,0,17,38,1,1,0,8,4,0,2,0,8,10,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,51,20,0,0,1,0,0,1,0,0,0
Settling,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RemainRU,65,1,1,26,0,0,2,141,2,0,0,2,5,1,0,0,0,12,0,0,1,0,0,0,0,0,9,0,0,0,0,0,5,0,0,1,0,0,1,0,11,0,0,0,0
