 Experiment number: ,,#209
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    455.14(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
1,5192,5191,Sleep,Floor(Night),
5192,5203,11,Twitch,Floor(Night),
5203,6130,927,Sleep,Floor(Night),
6130,6182,52,Twitch,,
6182,6239,57,Sleep,Floor(Night),
6239,6344,105,Twitch,,
6344,6538,194,Sleep,Floor(Night),
6538,6550,12,Twitch,Floor(Night),
6550,6581,31,Sleep,Floor(Night),
6581,6683,102,Twitch,Floor(Night),
6683,6714,31,Sleep,Floor(Night),
6714,6798,84,Twitch,Floor(Night),
6798,6900,102,Sleep,Floor(Night),
6900,7032,132,Twitch,Floor(Night),
7032,7193,161,Sleep,Floor(Night),
7193,7225,32,Twitch,Floor(Night),
7225,8733,1508,Sleep,Floor(Night),
8733,8747,14,Twitch,Floor(Night),
8747,11002,2255,Sleep,Floor(Night),
11002,11015,13,Twitch,Floor(Night),
11015,13803,2788,Sleep,Floor(Night),
13803,13816,13,Twitch,Floor(Night),
13816,29032,15216,Sleep,Floor(Night),
29032,29115,83,Twitch,Floor(Night),
29115,30223,1108,Sleep,Floor(Night),
30223,30435,212,Twitch,Floor(Night),
30435,30636,201,Sleep,Floor(Night),
30636,30739,103,Twitch,Floor(Night),
30739,30961,222,Sleep,Floor(Night),
30961,30992,31,Twitch,Floor(Night),
30992,49003,18011,Sleep,Floor(Night),
49003,49119,116,Twitch,Floor(Night),
49119,49154,35,Sleep,Floor(Night),
49154,49173,19,Twitch,,
49173,49292,119,Sleep,Floor(Night),
49292,49405,113,Twitch,Floor(Night),
49405,51004,1599,Sleep,Floor(Night),
51004,51079,75,Twitch,Floor(Night),
51079,51116,37,Sleep,Floor(Night),
51116,51128,12,Twitch,Floor(Night),
51128,51827,699,Sleep,Floor(Night),
51827,52106,279,Twitch,Floor(Night),
52106,73048,20942,Sleep,Floor(Night),
73048,73099,51,Twitch,Floor(Night),
73099,80007,6908,Sleep,Floor(Night),
80007,80030,23,Twitch,Floor(Night),
80030,80456,426,Sleep,Floor(Night),
80456,80587,131,Twitch,Floor(Night),
80587,80641,54,Sleep,Floor(Night),
80641,80708,67,Twitch,Floor(Night),
80708,80750,42,Sleep,Floor(Night),
80750,80808,58,Twitch,Floor(Night),
80808,80993,185,Sleep,Floor(Night),
80993,81019,26,Twitch,Floor(Night),
81019,81065,46,Sleep,Floor(Night),
81065,81077,12,Twitch,Floor(Night),
81077,81241,164,Sleep,Floor(Night),
81241,81273,32,Twitch,,
81273,81348,75,Sleep,Floor(Night),
81348,81529,181,Twitch,Floor(Night),
81529,81562,33,Sleep,Floor(Night),
81562,81578,16,Twitch,,
81578,81639,61,Sleep,Floor(Night),
81639,81685,46,Twitch,Floor(Night),
81685,81767,82,Sleep,Floor(Night),
81767,81824,57,Twitch,Floor(Night),
81824,81945,121,Sleep,Floor(Night),
81945,82245,300,Twitch,Floor(Night),
82245,82246,1,Awaken,Floor(Night),
82246,82643,397,Remain Low,Floor(Night),
82643,82649,6,Turn,OnBedding(Night),
82649,82661,12,Remain Low,OnBedding(Night),
82661,82673,12,Turn,face-front/back,OnBedding(Night),
82673,83125,452,Remain Low,OnBedding(Night),
83125,83598,473,Groom,PLF,Floor(Night),
83598,83755,157,Remain Low,Floor(Night),
83755,83761,6,Turn,Floor(Night),
83761,83773,12,Remain Low,Floor(Night),
83773,83779,6,Turn,Floor(Night),
83779,83785,6,Turn,Floor(Night),
83785,83821,36,Remain Low,face-front/back,Floor(Night),
83821,83827,6,Turn,Floor(Night),
83827,83833,6,Turn,Floor(Night),
83833,83857,24,Remain Low,Floor(Night),
83857,83863,6,Turn,Floor(Night),
83863,83869,6,Turn,Floor(Night),
83869,83875,6,Turn,Floor(Night),
83875,83881,6,Turn,face-front/back,Floor(Night),
83881,84265,384,Remain Low,Floor(Night),
84265,84271,6,Turn,Floor(Night),
84271,84277,6,Turn,face-front/back,Floor(Night),
84277,84283,6,Turn,Floor(Night),
84283,84289,6,Turn,face-front/back,Floor(Night),
84289,84295,6,Remain Low,Floor(Night),
84295,84301,6,Turn,face-front/back,Floor(Night),
84301,84307,6,Remain Low,Floor(Night),
84307,84319,12,Turn,face-front/back,Floor(Night),
84319,84325,6,Remain Low,Floor(Night),
84325,84337,12,Turn,face-front/back,Floor(Night),
84337,86159,1822,Remain Low,Floor(Night),
86159,86265,106,Pause,,
86265,86497,232,Remain Low,,
86497,87015,518,Groom,PLR,Floor(Night),
87015,87734,719,Remain Low,Floor(Night),
87734,87842,108,Pause,,
87842,88706,864,Remain Low,Floor(Night),
88706,89411,705,Groom,PLR,Floor(Night),
89411,89912,501,Remain Low,Floor(Night),
89912,90317,405,Groom,PLR,Floor(Night),
90317,90340,23,Remain Low,Floor(Night),
90340,90567,227,Pause,,
90567,90794,227,Remain Low,,
90794,90905,111,Pause,,
90905,92298,1393,Remain Low,Floor(Night),
92298,92304,6,Turn,Floor(Night),
92304,92310,6,Turn,Floor(Night),
92310,92346,36,Remain Low,Floor(Night),
92346,92352,6,Turn,face-front/back,Floor(Night),
92352,92508,156,Remain Low,Floor(Night),
92508,92518,10,Turn,Floor(Night),
92518,92823,305,Remain Low,Floor(Night),
92823,92835,12,Turn,face-front/back,Floor(Night),
92835,92841,6,Remain Low,Floor(Night),
92841,92847,6,Turn,Floor(Night),
92847,92925,78,Remain Low,Floor(Night),
92925,92946,21,Stretch Body,Floor(Night),
92946,92955,9,Remain Low,Floor(Night),
92955,93036,81,Stretch Body,Floor(Night),
93036,93051,15,Walk Right,OnBedding(Night),
93051,93243,192,Remain Low,RightWall(Night),
93243,93249,6,Rear up Partially,RightWall(Night),
93249,93255,6,Come Down From Partially Reared,RightWall(Night),
93255,93273,18,Remain Low,RightWall(Night),
93273,93279,6,Rear up Partially,RightWall(Night),
93279,93285,6,Remain Partially Reared,RightWall(Night),
93285,93291,6,Come Down From Partially Reared,RightWall(Night),
93291,93297,6,Rear up Partially,RightWall(Night),
93297,93303,6,Remain Partially Reared,RightWall(Night),
93303,93312,9,Come Down From Partially Reared,RightWall(Night),
93312,93351,39,Remain Low,RightWall(Night),
93351,93357,6,Turn,face-front/back,RightWall(Night),
93357,93363,6,Rear up Partially,RightWall(Night),
93363,93375,12,Remain Partially Reared,RightWall(Night),
93375,93381,6,Come Down From Partially Reared,RightWall(Night),
93381,93417,36,Remain Low,Floor(Night),
93417,93423,6,Turn,face-front/back,Floor(Night),
93423,93429,6,Remain Low,Floor(Night),
93429,93435,6,Turn,face-front/back,Floor(Night),
93435,93441,6,Turn,Floor(Night),
93441,93471,30,Stretch Body,Floor(Night),
93471,93477,6,Stationary,Floor(Night),
93477,93495,18,Remain Low,Floor(Night),
93495,93510,15,Walk Left,Floor(Night),
93510,93516,6,Remain Low,Floor(Night),
93516,93522,6,Turn,face-front/back,Floor(Night),
93603,95847,2244,Sleep,Floor(Night),
95847,96002,155,Twitch,Floor(Night),
96002,97233,1231,Sleep,Floor(Night),
97233,97276,43,Twitch,Floor(Night),
97276,97346,70,Sleep,Floor(Night),
97346,97459,113,Twitch,Floor(Night),
97459,97618,159,Sleep,Floor(Night),
97618,97777,159,Twitch,Floor(Night),
97777,98168,391,Sleep,Floor(Night),
98168,98279,111,Twitch,Floor(Night),
98279,103325,5046,Sleep,Floor(Night),
103325,103409,84,Twitch,Floor(Night),
103409,103458,49,Sleep,Floor(Night),
103458,103490,32,Twitch,Floor(Night),
103490,103533,43,Sleep,Floor(Night),
103533,103650,117,Twitch,Floor(Night),
103650,109661,6011,Sleep,Floor(Night),
109661,109674,13,Twitch,Floor(Night),
109674,114928,5254,Sleep,Floor(Night),
114928,114974,46,Twitch,Floor(Night),
114974,115058,84,Sleep,Floor(Night),
115058,115070,12,Twitch,Floor(Night),
115070,115143,73,Sleep,Floor(Night),
115143,115208,65,Twitch,Floor(Night),
115208,117885,2677,Sleep,Floor(Night),
117885,117919,34,Twitch,Floor(Night),
117919,118061,142,Sleep,Floor(Night),
118061,118090,29,Twitch,Floor(Night),
118090,126445,8355,Sleep,Floor(Night),
126445,126462,17,Twitch,Floor(Night),
126462,131144,4682,Sleep,Floor(Night),
131144,131425,281,Twitch,Floor(Night),
131425,135112,3687,Sleep,Floor(Night),
135112,135129,17,Twitch,Floor(Night),
135129,137484,2355,Sleep,Floor(Night),
137484,137507,23,Twitch,Floor(Night),
137507,137574,67,Sleep,Floor(Night),
137574,137587,13,Twitch,Floor(Night),
137587,143537,5950,Sleep,Floor(Night),
143537,143699,162,Twitch,Floor(Night),
143699,143795,96,Sleep,Floor(Night),
143795,143878,83,Twitch,Floor(Night),
143878,143984,106,Sleep,Floor(Night),
143984,143997,13,Twitch,Floor(Night),
143997,151137,7140,Sleep,Floor(Night),
151137,151149,12,Twitch,Floor(Night),
151149,155209,4060,Sleep,Floor(Night),
155209,155316,107,Twitch,Floor(Night),
155316,155371,55,Sleep,Floor(Night),
155371,155598,227,Twitch,Floor(Night),
155598,155645,47,Sleep,Floor(Night),
155645,155662,17,Twitch,Floor(Night),
155662,155703,41,Sleep,Floor(Night),
155703,155725,22,Twitch,Floor(Night),
155725,155811,86,Sleep,Floor(Night),
155811,155825,14,Twitch,Floor(Night),
155825,157645,1820,Sleep,Floor(Night),
