Adjacency Matrix
,ComeDown,RearUp,  Turn,Stretch,HangCudl,HangVert,CDfromPR,CDtoPR,RUfromPR,RUtoPR,LandVert,WalkLeft,WalkRight,Stationa,Drnk(S1),Eat(Z1),  Jump,Unknown,HVfromRU,HVfromHC,ReptJump,Circle,   Dig,Forage,Pause,Urinate, Groom, Sleep,Twitch,Arousal,Awaken,  Chew, Sniff,Settling,RemainRU,RemainPR,RemainHV,RemainHC,RemainLw,WalkSlow,No Data,Drnk(S2),Drnk(S3),Eat(Z2),Eat(Z3)
ComeDown,0,56,25,0,0,0,1,0,2,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,66,0,1,0,0,0,0
RearUp,35,0,1,7,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,37,0,87,0,0,0,2,0,0,0,0,0,0
  Turn,0,20,0,85,0,0,5,0,1,99,0,89,53,25,0,1,1,108,0,0,0,0,0,0,403,0,105,63,0,0,0,0,1,0,1,1,0,0,13394,92,0,0,0,1,0
Stretch,7,0,46,0,0,0,15,13,2,2,0,34,49,123,0,0,0,223,0,0,0,0,0,0,52,0,37,18,0,0,0,0,68,0,37,16,0,0,948,38,2,0,0,0,0
HangCudl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HangVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDfromPR,0,13,116,17,0,0,0,0,2,171,0,9,2,2,1,0,0,11,0,0,0,0,0,0,8,0,6,1,0,0,0,0,1,0,2,12,0,0,852,2,0,0,0,3,0
CDtoPR,0,0,0,1,0,0,67,0,33,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,95,0,0,2,0,0,0,0,0,0
RUfromPR,11,1,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,62,0,0,0,0,0,0,0,0,0,0
RUtoPR,2,0,0,8,0,0,518,0,37,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,1,0,0,0,0,27,0,1,487,0,0,18,0,0,0,0,18,0
LandVert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
WalkLeft,0,1,68,21,0,0,1,0,0,4,0,0,48,1,0,0,0,66,0,0,0,0,0,0,6,0,28,5,0,0,0,0,4,0,3,0,0,0,322,57,1,0,0,0,0
WalkRight,1,0,71,62,0,0,0,0,0,2,0,64,0,1,0,0,0,30,0,0,0,0,0,0,6,0,7,3,0,0,0,0,5,0,3,1,0,0,330,55,3,0,0,0,0
Stationa,0,0,58,71,0,0,5,0,0,6,0,2,3,0,0,0,0,3,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,4,0,0,421,10,0,0,0,0,0
